Crane: 0
0;107;8.0;4.0;7;11.0;5.0;11
0;87;8.5;0.0;17;7.5;6.0;24
0;103;9.0;8.0;36;0.0;0.0;46
0;104;0.0;7.0;54;0.0;9.0;57
0;81;10.0;6.0;68;5.0;4.0;74
0;112;7.5;3.0;78;10.5;5.0;88
0;132;5.0;5.0;95;9.0;5.0;100
0;136;4.0;8.0;106;3.0;6.0;109
0;151;9.5;2.0;118;4.5;0.0;124
0;158;4.0;7.0;132;7.0;0.0;140
0;107;11.0;8.0;155;8.0;4.0;160
Crane: 1
1;88;18.0;3.0;8;10.0;0.0;17
1;66;8.0;4.0;27;9.0;0.0;32
1;81;18.0;6.0;42;13.0;6.0;48
1;81;13.0;6.0;49;10.0;6.0;53
1;107;11.0;5.0;55;18.0;7.0;63
1;145;11.0;3.0;71;11.0;7.0;76
1;157;8.0;5.0;81;16.0;4.0;90
1;112;10.5;5.0;97;18.5;4.0;106
1;132;9.0;5.0;123;18.0;7.0;133
1;132;18.0;7.0;134;17.0;8.0;136
1;107;18.0;7.0;138;11.0;8.0;146
1;132;17.0;8.0;153;18.0;7.0;155
1;107;8.0;4.0;166;18.0;7.0;177
